N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
38,-0.001993387640313475,0.5811367948440683,0.87,42,Exponential,100,100,30,ElasticNet (BIC),0.5,362
38,-0.007042683160471812,0.3383654204768637,0.524,42,Exponential,100,100,30,ElasticNet (BIC),0.9,112
0,0.004310909333629778,0.5778594224873893,0.898,42,Exponential,100,100,180,ElasticNet (BIC),0.5,365
0,-0.0001880691164471383,0.20930867924443997,0.516,42,Exponential,100,100,180,ElasticNet (BIC),0.9,158
38,0.003259149512492456,0.5795701127435585,0.89,42,5,100,100,30,ElasticNet (BIC),0.5,384
31,0.0036577980682976734,0.29462380820751755,0.496,42,5,100,100,30,ElasticNet (BIC),0.9,103
0,0.002114296571242555,0.5762992169076652,0.87,42,5,100,100,180,ElasticNet (BIC),0.5,368
0,0.004475092567056284,0.18952775010554523,0.464,42,5,100,100,180,ElasticNet (BIC),0.9,157
79,0.005840939873656187,0.5836079589399908,0.884,42,50,100,100,30,ElasticNet (BIC),0.5,365
135,0.0036027472259562085,0.41728320239271455,0.61,42,50,100,100,30,ElasticNet (BIC),0.9,118
15,0.0008859684772914295,0.5963446455812124,0.984,42,50,100,100,180,ElasticNet (BIC),0.5,398
1,-0.0017260648657702604,0.5093279696644128,0.784,42,50,100,100,180,ElasticNet (BIC),0.9,213
0,0.0020424281600765967,0.6008406833364088,1.0,42,Exponential,100,250,30,ElasticNet (BIC),0.5,500
0,0.0030973229690424084,0.6101586818500397,1.0,42,Exponential,100,250,30,ElasticNet (BIC),0.9,500
0,0.00340491738619383,0.5977827295282727,1.0,42,Exponential,100,250,180,ElasticNet (BIC),0.5,500
0,-0.00014253636734882363,0.5998263981411694,1.0,42,Exponential,100,250,180,ElasticNet (BIC),0.9,500
0,0.0033954339227374453,0.5973525780347664,1.0,42,5,100,250,30,ElasticNet (BIC),0.5,500
0,-0.003305522837595736,0.6034498913028272,1.0,42,5,100,250,30,ElasticNet (BIC),0.9,500
0,0.007611024643759916,0.5947487986379709,1.0,42,5,100,250,180,ElasticNet (BIC),0.5,500
0,-0.004582297891094204,0.596716181601398,1.0,42,5,100,250,180,ElasticNet (BIC),0.9,500
0,0.00011002948875167042,0.5975199692166683,1.0,42,50,100,250,30,ElasticNet (BIC),0.5,500
0,0.002908984104399777,0.5985932095341084,1.0,42,50,100,250,30,ElasticNet (BIC),0.9,500
0,-0.002331070573632241,0.5983978947218889,1.0,42,50,100,250,180,ElasticNet (BIC),0.5,500
0,-0.0036220868292050103,0.5964021231945941,1.0,42,50,100,250,180,ElasticNet (BIC),0.9,500
175,-0.0010047658005906835,0.1730141624965703,0.152,42,Exponential,250,100,30,ElasticNet (BIC),0.5,0
74,-0.0016499225926388111,0.14894846957220265,0.13,42,Exponential,250,100,30,ElasticNet (BIC),0.9,0
0,0.0010979171372522568,0.07069238918357934,0.136,42,Exponential,250,100,180,ElasticNet (BIC),0.5,0
0,-0.0043758364674569145,0.07027524379943251,0.094,42,Exponential,250,100,180,ElasticNet (BIC),0.9,0
190,-0.001239337743291595,0.17969890681286915,0.178,42,5,250,100,30,ElasticNet (BIC),0.5,0
60,0.00150823840813691,0.1314700962346257,0.112,42,5,250,100,30,ElasticNet (BIC),0.9,0
0,0.0020013361417236942,0.08802665396443166,0.172,42,5,250,100,180,ElasticNet (BIC),0.5,0
0,0.004476874989579445,0.0717404841035919,0.122,42,5,250,100,180,ElasticNet (BIC),0.9,0
462,-0.000552073115732906,0.42095057850607986,0.424,42,50,250,100,30,ElasticNet (BIC),0.5,0
290,-0.00502977061687577,0.2209218937361559,0.258,42,50,250,100,30,ElasticNet (BIC),0.9,0
362,-0.0033500808071952534,0.2748421413752722,0.472,42,50,250,100,180,ElasticNet (BIC),0.5,0
1,0.0003868243596528327,0.11472353040516226,0.276,42,50,250,100,180,ElasticNet (BIC),0.9,0
