N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
9,-0.004562348720888079,0.3821971094022618,0.744,42,Exponential,100,100,30,ElasticNet (CV),0.5,0
0,0.0030823529984380033,0.26950509851733473,0.468,42,Exponential,100,100,30,ElasticNet (CV),0.9,0
0,-0.005256360405633896,0.27874814069885145,0.698,42,Exponential,100,100,180,ElasticNet (CV),0.5,0
0,0.00456573702509388,0.16908872901216987,0.408,42,Exponential,100,100,180,ElasticNet (CV),0.9,0
6,0.005499323042168717,0.38933262763294074,0.728,42,5,100,100,30,ElasticNet (CV),0.5,0
0,0.0030888247318556702,0.28160109139141754,0.498,42,5,100,100,30,ElasticNet (CV),0.9,0
0,-0.006186118661148779,0.28303027504786893,0.724,42,5,100,100,180,ElasticNet (CV),0.5,0
0,-0.0013540929945643765,0.1500088912852227,0.368,42,5,100,100,180,ElasticNet (CV),0.9,0
32,-0.0037011689907216205,0.4614706142162446,0.854,42,50,100,100,30,ElasticNet (CV),0.5,0
2,-0.005048781984573545,0.2994741004915602,0.576,42,50,100,100,30,ElasticNet (CV),0.9,0
0,-0.007243533800341526,0.4191050591715859,0.992,42,50,100,100,180,ElasticNet (CV),0.5,0
0,-0.004929958077072894,0.23529090683004306,0.626,42,50,100,100,180,ElasticNet (CV),0.9,0
9,-0.004884026554583485,0.45190897143904607,0.846,42,Exponential,100,250,30,ElasticNet (CV),0.5,0
3,0.011296743134323384,0.33524276425178856,0.644,42,Exponential,100,250,30,ElasticNet (CV),0.9,0
0,0.0005614680672482233,0.3845926770413458,0.864,42,Exponential,100,250,180,ElasticNet (CV),0.5,1
0,-0.008612297049719997,0.2322788177086592,0.58,42,Exponential,100,250,180,ElasticNet (CV),0.9,0
11,-0.0010416221031362728,0.45830855876482646,0.822,42,5,100,250,30,ElasticNet (CV),0.5,2
2,0.007128432870931435,0.3296580505216249,0.596,42,5,100,250,30,ElasticNet (CV),0.9,0
0,-0.004510557578919628,0.3733422146828036,0.87,42,5,100,250,180,ElasticNet (CV),0.5,1
0,-7.952155918855217e-05,0.20524794821580095,0.504,42,5,100,250,180,ElasticNet (CV),0.9,0
54,0.003320188791441276,0.5128096386153093,0.83,42,50,100,250,30,ElasticNet (CV),0.5,2
1,0.008158107593929584,0.3694647906828037,0.742,42,50,100,250,30,ElasticNet (CV),0.9,0
0,-0.004173448875344547,0.5057576739387414,0.988,42,50,100,250,180,ElasticNet (CV),0.5,9
0,6.787807742740688e-05,0.2934506330995722,0.794,42,50,100,250,180,ElasticNet (CV),0.9,1
5,-0.0019823912611605377,0.34234813695107613,0.696,42,Exponential,250,100,30,ElasticNet (CV),0.5,0
0,0.0017491348374381564,0.2241987547744546,0.42,42,Exponential,250,100,30,ElasticNet (CV),0.9,0
0,-0.002957906008321321,0.19703295428867607,0.62,42,Exponential,250,100,180,ElasticNet (CV),0.5,0
0,-0.0050815741649652205,0.10431309100598463,0.256,42,Exponential,250,100,180,ElasticNet (CV),0.9,0
3,0.002938162169597972,0.3465865533469231,0.716,42,5,250,100,30,ElasticNet (CV),0.5,0
1,-0.0026014484408707125,0.22453190035875709,0.406,42,5,250,100,30,ElasticNet (CV),0.9,0
0,-0.0011447049492276304,0.1822960206203873,0.586,42,5,250,100,180,ElasticNet (CV),0.5,0
0,-0.0012103943453673867,0.10865752916981952,0.258,42,5,250,100,180,ElasticNet (CV),0.9,0
33,0.0011422577686698542,0.42082762219564107,0.858,42,50,250,100,30,ElasticNet (CV),0.5,0
3,2.309008191033607e-05,0.2540024316496913,0.524,42,50,250,100,30,ElasticNet (CV),0.9,0
0,-0.00222588810194925,0.28636422629710767,0.934,42,50,250,100,180,ElasticNet (CV),0.5,0
0,-0.0036542127929034343,0.1412683074278016,0.42,42,50,250,100,180,ElasticNet (CV),0.9,0
