N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
34,-9.197240465860713e-05,0.2617737550686341,0.386,42,Exponential,100,100,30,Minimax (CV),0.5,0
1,0.004021822342947418,0.18591735995407632,0.22,42,Exponential,100,100,30,Minimax (CV),0.9,0
0,0.009290923347107804,0.1481860894780742,0.348,42,Exponential,100,100,180,Minimax (CV),0.5,0
0,0.004556685966800367,0.11958247047819492,0.232,42,Exponential,100,100,180,Minimax (CV),0.9,0
41,-0.007541017511075626,0.27521046750486167,0.432,42,5,100,100,30,Minimax (CV),0.5,0
11,-0.009929703277743947,0.18936650893563134,0.196,42,5,100,100,30,Minimax (CV),0.9,0
0,-0.007231548824087089,0.1315465475613805,0.3,42,5,100,100,180,Minimax (CV),0.5,0
0,0.012768810785472972,0.11573438137752645,0.216,42,5,100,100,180,Minimax (CV),0.9,0
203,-0.001112239427649093,0.4238482261561126,0.642,42,50,100,100,30,Minimax (CV),0.5,0
21,0.0004211488403193943,0.22547665313597154,0.342,42,50,100,100,30,Minimax (CV),0.9,0
10,-0.00031758242408537214,0.36964088885537305,0.84,42,50,100,100,180,Minimax (CV),0.5,0
0,-0.0036673896606466594,0.21003851251300532,0.524,42,50,100,100,180,Minimax (CV),0.9,0
57,0.00695168961872426,0.35539873422964874,0.648,42,Exponential,100,250,30,Minimax (CV),0.5,0
6,0.008153869118041179,0.2413766274324679,0.338,42,Exponential,100,250,30,Minimax (CV),0.9,0
0,-0.005446651081099133,0.14205935112842116,0.262,42,Exponential,100,250,180,Minimax (CV),0.5,0
0,0.0011417733109562837,0.09827542581415905,0.15,42,Exponential,100,250,180,Minimax (CV),0.9,1
59,0.0028123241039404896,0.34641013533767673,0.624,42,5,100,250,30,Minimax (CV),0.5,0
10,0.004736862916863273,0.22954320367147552,0.296,42,5,100,250,30,Minimax (CV),0.9,0
0,-0.003637842828121396,0.1287078327478015,0.252,42,5,100,250,180,Minimax (CV),0.5,0
0,0.003880453761028504,0.09704869927032322,0.16,42,5,100,250,180,Minimax (CV),0.9,0
243,-0.004272611627162699,0.46485592359737526,0.712,42,50,100,250,30,Minimax (CV),0.5,0
22,0.006330632208381358,0.3008568867300352,0.492,42,50,100,250,30,Minimax (CV),0.9,0
16,0.003647658864747892,0.3778020273752952,0.846,42,50,100,250,180,Minimax (CV),0.5,18
0,-0.0021448739537679095,0.19180270879354622,0.446,42,50,100,250,180,Minimax (CV),0.9,1
76,-0.00445261992828257,0.18403675936781816,0.216,42,Exponential,250,100,30,Minimax (CV),0.5,0
16,-0.0012462759370921199,0.14738785745984795,0.192,42,Exponential,250,100,30,Minimax (CV),0.9,0
0,-0.006545770630691207,0.18465034890468401,0.576,42,Exponential,250,100,180,Minimax (CV),0.5,0
0,-0.00020132214994134418,0.09260882549762894,0.24,42,Exponential,250,100,180,Minimax (CV),0.9,0
81,0.0019501487923165584,0.19039523920909057,0.222,42,5,250,100,30,Minimax (CV),0.5,0
21,-0.0033908305422887417,0.16350133727965732,0.192,42,5,250,100,30,Minimax (CV),0.9,0
0,-0.0035907601572554423,0.19719886866677128,0.638,42,5,250,100,180,Minimax (CV),0.5,0
0,-0.0028844468102846286,0.09955482773596691,0.202,42,5,250,100,180,Minimax (CV),0.9,0
304,-0.007480254165647989,0.42345461918865746,0.486,42,50,250,100,30,Minimax (CV),0.5,0
57,0.00032198311152263615,0.25453691312251725,0.43,42,50,250,100,30,Minimax (CV),0.9,0
1,-0.0032998075260613083,0.27514372743085425,0.938,42,50,250,100,180,Minimax (CV),0.5,0
0,-0.0001247572905836584,0.12476195174903837,0.338,42,50,250,100,180,Minimax (CV),0.9,0
