N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
119,0.0004857715641812395,0.18746224316656457,0.184,42,Exponential,100,100,30,Post-Lasso (BIC),0.5,0
31,0.004342339996151126,0.15333410626267963,0.174,42,Exponential,100,100,30,Post-Lasso (BIC),0.9,0
0,0.010326650532910287,0.10251198006478923,0.122,42,Exponential,100,100,180,Post-Lasso (BIC),0.5,0
0,0.005079713516962157,0.09936708856134735,0.12,42,Exponential,100,100,180,Post-Lasso (BIC),0.9,0
114,-0.008051829297082043,0.19667070336477965,0.228,42,5,100,100,30,Post-Lasso (BIC),0.5,0
44,-0.010637351185131386,0.17911902143367253,0.164,42,5,100,100,30,Post-Lasso (BIC),0.9,0
0,-0.005587303140943592,0.09920925246697287,0.128,42,5,100,100,180,Post-Lasso (BIC),0.5,0
0,0.01341588598056102,0.08593235446067993,0.082,42,5,100,100,180,Post-Lasso (BIC),0.9,0
395,-0.0014060010233331666,0.45900152884964673,0.498,42,50,100,100,30,Post-Lasso (BIC),0.5,0
154,-0.0010158480929866763,0.23878221990741055,0.298,42,50,100,100,30,Post-Lasso (BIC),0.9,0
292,0.00022995506107965607,0.32485915059889314,0.444,42,50,100,100,180,Post-Lasso (BIC),0.5,0
24,-0.0034378878907624704,0.1613218476174354,0.306,42,50,100,100,180,Post-Lasso (BIC),0.9,0
146,0.004859277722770636,0.21879728811225485,0.27,42,Exponential,100,250,30,Post-Lasso (BIC),0.5,0
56,0.006343300141889346,0.16557614803928505,0.19,42,Exponential,100,250,30,Post-Lasso (BIC),0.9,0
0,-0.005340368692806262,0.10467705942495054,0.146,42,Exponential,100,250,180,Post-Lasso (BIC),0.5,0
0,-0.0032459861046059487,0.08832277238758035,0.102,42,Exponential,100,250,180,Post-Lasso (BIC),0.9,0
153,-0.001682892299605596,0.21718515293437124,0.274,42,5,100,250,30,Post-Lasso (BIC),0.5,0
53,0.003597768821522705,0.15466047897933588,0.158,42,5,100,250,30,Post-Lasso (BIC),0.9,0
0,0.00026642151754167117,0.10169755672972347,0.14,42,5,100,250,180,Post-Lasso (BIC),0.5,0
0,-0.004505893723286289,0.08273260356386392,0.086,42,5,100,250,180,Post-Lasso (BIC),0.9,0
401,0.0017335566517975038,0.45715669002478687,0.508,42,50,100,250,30,Post-Lasso (BIC),0.5,0
188,0.0031138005272222623,0.24686311220483648,0.322,42,50,100,250,30,Post-Lasso (BIC),0.9,0
295,-0.003934626270624941,0.3503351389989061,0.476,42,50,100,250,180,Post-Lasso (BIC),0.5,0
7,0.0005788509500358713,0.14977977197246573,0.288,42,50,100,250,180,Post-Lasso (BIC),0.9,0
81,-0.0002486132723752081,0.17154556515957953,0.184,42,Exponential,250,100,30,Post-Lasso (BIC),0.5,0
33,0.0018227813248459007,0.14872632582022438,0.146,42,Exponential,250,100,30,Post-Lasso (BIC),0.9,0
0,-0.0009159004443698332,0.08623379291458899,0.164,42,Exponential,250,100,180,Post-Lasso (BIC),0.5,0
0,0.004274805643496903,0.07150201255413224,0.114,42,Exponential,250,100,180,Post-Lasso (BIC),0.9,0
103,0.0030161752966719165,0.1842937079040109,0.236,42,5,250,100,30,Post-Lasso (BIC),0.5,0
37,-0.0036646974625728027,0.14877757731993824,0.134,42,5,250,100,30,Post-Lasso (BIC),0.9,0
0,0.003054955594564522,0.08534770818548881,0.172,42,5,250,100,180,Post-Lasso (BIC),0.5,0
0,0.0011457868554170937,0.0652698779196742,0.108,42,5,250,100,180,Post-Lasso (BIC),0.9,0
391,-0.0004732047575014758,0.4119639139961413,0.446,42,50,250,100,30,Post-Lasso (BIC),0.5,0
165,-0.0017554559156963408,0.21969283880768953,0.316,42,50,250,100,30,Post-Lasso (BIC),0.9,0
22,-0.004132642298896048,0.2354574125093114,0.718,42,50,250,100,180,Post-Lasso (BIC),0.5,0
0,0.0005152940016292345,0.10027559528879648,0.238,42,50,250,100,180,Post-Lasso (BIC),0.9,0
