N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
9,-0.005180282628983162,0.3589809375137143,0.696,42,Exponential,100,100,30,Post-Lasso (CV),0.5,0
1,0.005692660782955536,0.2574079577058912,0.446,42,Exponential,100,100,30,Post-Lasso (CV),0.9,0
0,-0.006849335085653942,0.25085306418225184,0.638,42,Exponential,100,100,180,Post-Lasso (CV),0.5,0
0,0.00565885591937716,0.15966966540139405,0.376,42,Exponential,100,100,180,Post-Lasso (CV),0.9,0
8,0.005502720203585476,0.370833915789772,0.68,42,5,100,100,30,Post-Lasso (CV),0.5,0
0,0.0050766291014310745,0.27011034316714555,0.462,42,5,100,100,30,Post-Lasso (CV),0.9,0
0,-0.0055766163527863725,0.2579204107386929,0.662,42,5,100,100,180,Post-Lasso (CV),0.5,0
0,-0.0018013553181668244,0.1346367871791067,0.346,42,5,100,100,180,Post-Lasso (CV),0.9,0
28,-0.004582759730646755,0.46301934505803954,0.848,42,50,100,100,30,Post-Lasso (CV),0.5,0
6,-0.005140477314102179,0.2980314543586039,0.57,42,50,100,100,30,Post-Lasso (CV),0.9,0
0,-0.006322419665175213,0.4078448296324071,0.986,42,50,100,100,180,Post-Lasso (CV),0.5,0
0,-0.00567983529574485,0.2328240402937165,0.61,42,50,100,100,180,Post-Lasso (CV),0.9,0
14,-0.005043163407650863,0.42968621885174685,0.782,42,Exponential,100,250,30,Post-Lasso (CV),0.5,0
3,0.011910556794238742,0.3092374817347533,0.58,42,Exponential,100,250,30,Post-Lasso (CV),0.9,0
0,-0.008783964823425035,0.3461946015199495,0.794,42,Exponential,100,250,180,Post-Lasso (CV),0.5,0
0,0.0011628300799265895,0.1922502702825084,0.49,42,Exponential,100,250,180,Post-Lasso (CV),0.9,0
3,-0.001529322840793968,0.41316251186806485,0.754,42,5,100,250,30,Post-Lasso (CV),0.5,0
2,-0.0030482427656217123,0.3180820231025667,0.566,42,5,100,250,30,Post-Lasso (CV),0.9,0
0,0.001394790776571903,0.3331785817046853,0.814,42,5,100,250,180,Post-Lasso (CV),0.5,1
0,-0.0006655921285254106,0.1946465193996903,0.484,42,5,100,250,180,Post-Lasso (CV),0.9,0
66,0.006026553831682678,0.49876521847459876,0.812,42,50,100,250,30,Post-Lasso (CV),0.5,0
4,-0.009315111880026861,0.3608830860442013,0.712,42,50,100,250,30,Post-Lasso (CV),0.9,0
3,-0.007176664601507044,0.493196025012153,0.976,42,50,100,250,180,Post-Lasso (CV),0.5,4
0,-0.006063383939764992,0.29299093429866263,0.766,42,50,100,250,180,Post-Lasso (CV),0.9,0
4,-0.004011758460411014,0.3326809109810569,0.642,42,Exponential,250,100,30,Post-Lasso (CV),0.5,0
0,-0.0015247971347443514,0.21685488747137893,0.378,42,Exponential,250,100,30,Post-Lasso (CV),0.9,0
0,0.0020070496964223602,0.172212622268902,0.55,42,Exponential,250,100,180,Post-Lasso (CV),0.5,0
0,-0.001636536729801785,0.10099945695576562,0.266,42,Exponential,250,100,180,Post-Lasso (CV),0.9,0
3,-0.004878965288251689,0.30525414168269227,0.616,42,5,250,100,30,Post-Lasso (CV),0.5,0
1,0.005092397830151071,0.23744176865537292,0.424,42,5,250,100,30,Post-Lasso (CV),0.9,0
0,-0.00294839431546953,0.16926678080454194,0.514,42,5,250,100,180,Post-Lasso (CV),0.5,0
0,-0.004192374152383649,0.10504458407519474,0.258,42,5,250,100,180,Post-Lasso (CV),0.9,0
36,-0.00022745239910593835,0.4118609146710477,0.81,42,50,250,100,30,Post-Lasso (CV),0.5,0
0,0.0007657531879164746,0.25834871426829875,0.532,42,50,250,100,30,Post-Lasso (CV),0.9,0
0,0.0005798731589389435,0.281868167538485,0.928,42,50,250,100,180,Post-Lasso (CV),0.5,0
0,0.0009494960614450695,0.13619671589779048,0.418,42,50,250,100,180,Post-Lasso (CV),0.9,0
