N(0),Bias,MAD,rp(0.05),Seed,Design,N samples,N instruments,Concentration,Model,Correlation,Instruments > N
499,0.004482269736655047,0.18142442893927013,0.178,42,Exponential,100,100,30,Post-Lasso (Xindep),0.5,0
498,-0.002933890931934604,0.15628671627937007,0.132,42,Exponential,100,100,30,Post-Lasso (Xindep),0.9,0
423,-0.0021745849836293032,0.10465677126091377,0.088,42,Exponential,100,100,180,Post-Lasso (Xindep),0.5,0
265,0.0003054188067501823,0.08897832762919478,0.084,42,Exponential,100,100,180,Post-Lasso (Xindep),0.9,0
500,0.008047869978828736,0.19773797091565604,0.184,42,5,100,100,30,Post-Lasso (Xindep),0.5,0
497,-0.0011940719335165537,0.1500730873433354,0.116,42,5,100,100,30,Post-Lasso (Xindep),0.9,0
424,-0.0017527392053835848,0.1148422177554767,0.134,42,5,100,100,180,Post-Lasso (Xindep),0.5,0
245,8.495391706673453e-05,0.08882129736758831,0.078,42,5,100,100,180,Post-Lasso (Xindep),0.9,0
500,0.008272092617471874,0.43400348088559115,0.428,42,50,100,100,30,Post-Lasso (Xindep),0.5,0
500,0.0036209913432587344,0.2434297606495196,0.254,42,50,100,100,30,Post-Lasso (Xindep),0.9,0
500,-0.007705642261400331,0.3409544687897623,0.392,42,50,100,100,180,Post-Lasso (Xindep),0.5,0
467,0.005349423069498416,0.1685486018576502,0.218,42,50,100,100,180,Post-Lasso (Xindep),0.9,0
500,-0.00037027336767794447,0.1940284357834947,0.172,42,Exponential,100,250,30,Post-Lasso (Xindep),0.5,0
500,0.0044636081693130315,0.14851788947080624,0.102,42,Exponential,100,250,30,Post-Lasso (Xindep),0.9,0
463,0.0015159908936686756,0.10831887200371293,0.074,42,Exponential,100,250,180,Post-Lasso (Xindep),0.5,0
321,-0.003349348887003445,0.08209060013570935,0.072,42,Exponential,100,250,180,Post-Lasso (Xindep),0.9,0
500,0.0021387701995989605,0.20153060891157204,0.19,42,5,100,250,30,Post-Lasso (Xindep),0.5,0
499,0.005942170494432915,0.15393726596184815,0.112,42,5,100,250,30,Post-Lasso (Xindep),0.9,0
465,-0.0005269412628427193,0.1165899631693228,0.116,42,5,100,250,180,Post-Lasso (Xindep),0.5,0
322,0.002424011108228541,0.09065647736563665,0.078,42,5,100,250,180,Post-Lasso (Xindep),0.9,0
500,-0.004736227642085956,0.47059918905420284,0.51,42,50,100,250,30,Post-Lasso (Xindep),0.5,0
500,-0.0003740122213262676,0.2632536512144682,0.266,42,50,100,250,30,Post-Lasso (Xindep),0.9,0
500,-0.001722598947435136,0.3265219598722895,0.384,42,50,100,250,180,Post-Lasso (Xindep),0.5,0
484,0.008866696271482642,0.1676096015452775,0.234,42,50,100,250,180,Post-Lasso (Xindep),0.9,0
500,-0.0008929076623487193,0.16470374947976746,0.102,42,Exponential,250,100,30,Post-Lasso (Xindep),0.5,0
492,0.002401012639454792,0.14673786324050658,0.092,42,Exponential,250,100,30,Post-Lasso (Xindep),0.9,0
139,-0.0012561964075792319,0.08018406050964261,0.068,42,Exponential,250,100,180,Post-Lasso (Xindep),0.5,0
7,0.004370686562862512,0.07481665335289567,0.084,42,Exponential,250,100,180,Post-Lasso (Xindep),0.9,0
500,-0.0013101814783385655,0.17140110126798014,0.146,42,5,250,100,30,Post-Lasso (Xindep),0.5,0
494,-0.0003384898320832252,0.13748590092496765,0.102,42,5,250,100,30,Post-Lasso (Xindep),0.9,0
185,0.0016149788774732759,0.0943390044384288,0.098,42,5,250,100,180,Post-Lasso (Xindep),0.5,0
9,-0.0012464802221568635,0.0596476079628373,0.048,42,5,250,100,180,Post-Lasso (Xindep),0.9,0
500,-0.001506958850381445,0.40198462490935305,0.428,42,50,250,100,30,Post-Lasso (Xindep),0.5,0
500,-0.0018462957880210351,0.22677699233315696,0.236,42,50,250,100,30,Post-Lasso (Xindep),0.9,0
500,-0.000589434201521355,0.27745934758927215,0.354,42,50,250,100,180,Post-Lasso (Xindep),0.5,0
278,0.003366833881896918,0.12620303888695655,0.176,42,50,250,100,180,Post-Lasso (Xindep),0.9,0
